Dest,ArrDelay,Cancelled,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,TotalFlights,Year,Month,"(-inf, 0.0]","(0.0, 60.0]","(60.0, 120.0]","(120.0, 180.0]","(180.0, 240.0]","(240.0, 300.0]","(300.0, inf]"
GTF,421.0,0.0,0.0,743.0,31.0,272.0,0.0,664.0,152,2016,1,101.0,42.0,7.0,1.0,,1.0,
HLN,-397.0,0.0,0.0,139.0,151.0,100.0,0.0,351.0,119,2016,1,81.0,32.0,6.0,,,,
LAN,1563.0,3.0,0.0,1304.0,28.0,890.0,0.0,919.0,251,2016,1,153.0,77.0,15.0,3.0,,,
LAW,-228.0,0.0,0.0,220.0,0.0,17.0,0.0,276.0,88,2016,1,72.0,13.0,2.0,1.0,,,
LCH,-357.0,1.0,0.0,65.0,0.0,79.0,0.0,325.0,76,2016,1,64.0,9.0,1.0,,1.0,,
LNK,596.0,0.0,1.0,906.0,51.0,552.0,0.0,594.0,234,2016,1,148.0,74.0,8.0,3.0,,,
LSE,696.0,0.0,0.0,450.0,0.0,227.0,0.0,195.0,49,2016,1,25.0,20.0,3.0,,,1.0,
MAF,-401.0,6.0,2.0,873.0,69.0,206.0,0.0,1636.0,472,2016,1,339.0,111.0,10.0,3.0,1.0,,
MFR,878.0,8.0,0.0,1334.0,20.0,160.0,0.0,1429.0,235,2016,1,148.0,61.0,13.0,5.0,,,
MLI,1265.0,1.0,0.0,1229.0,249.0,444.0,0.0,671.0,219,2016,1,137.0,62.0,14.0,4.0,,,1.0
MMH,168.0,8.0,0.0,223.0,0.0,20.0,0.0,52.0,32,2016,1,15.0,8.0,,1.0,,,
MOT,1254.0,2.0,1.0,1010.0,0.0,276.0,0.0,950.0,150,2016,1,86.0,48.0,7.0,2.0,4.0,,
PSC,1483.0,1.0,0.0,1462.0,143.0,342.0,0.0,1937.0,298,2016,1,194.0,81.0,13.0,6.0,1.0,2.0,
RAP,865.0,2.0,4.0,624.0,106.0,336.0,0.0,887.0,217,2016,1,126.0,74.0,6.0,5.0,,,
SBA,2169.0,13.0,1.0,1419.0,76.0,904.0,36.0,2568.0,500,2016,1,310.0,150.0,18.0,5.0,1.0,2.0,
SBN,6041.0,8.0,0.0,4338.0,172.0,1056.0,0.0,2982.0,396,2016,1,239.0,111.0,19.0,10.0,2.0,1.0,6.0
SMX,585.0,3.0,2.0,241.0,0.0,114.0,0.0,742.0,62,2016,1,30.0,20.0,6.0,1.0,,,
SPI,644.0,1.0,1.0,604.0,43.0,319.0,0.0,438.0,143,2016,1,89.0,45.0,6.0,1.0,,,
YUM,499.0,0.0,0.0,556.0,27.0,170.0,38.0,480.0,177,2016,1,115.0,56.0,5.0,,1.0,,
AMA,-437.0,4.0,2.0,256.0,32.0,204.0,0.0,700.0,246,2016,1,170.0,66.0,3.0,1.0,,,
BFL,814.0,5.0,0.0,1023.0,0.0,191.0,0.0,717.0,189,2016,1,117.0,59.0,4.0,2.0,,1.0,1.0
CPR,-626.0,0.0,0.0,77.0,0.0,119.0,0.0,560.0,139,2016,1,111.0,23.0,4.0,1.0,,,
CRP,-364.0,6.0,2.0,408.0,16.0,272.0,0.0,260.0,247,2016,1,168.0,67.0,3.0,1.0,,,
EKO,1890.0,6.0,0.0,1423.0,225.0,240.0,0.0,31.0,53,2016,1,20.0,23.0,1.0,,1.0,,2.0
GFK,657.0,0.0,0.0,434.0,0.0,138.0,0.0,392.0,93,2016,1,48.0,39.0,3.0,3.0,,,
IDA,-302.0,2.0,4.0,545.0,68.0,346.0,0.0,442.0,207,2016,1,144.0,49.0,7.0,,1.0,,
ISN,-419.0,0.0,3.0,634.0,30.0,386.0,0.0,472.0,169,2016,1,123.0,36.0,5.0,1.0,,1.0,
LAR,-411.0,0.0,0.0,45.0,0.0,36.0,0.0,54.0,52,2016,1,38.0,14.0,,,,,
MBS,1802.0,6.0,1.0,1175.0,75.0,361.0,0.0,1281.0,189,2016,1,111.0,52.0,11.0,6.0,1.0,1.0,
MRY,508.0,5.0,0.0,634.0,0.0,204.0,9.0,801.0,210,2016,1,131.0,66.0,6.0,1.0,1.0,,
PBG,212.0,0.0,0.0,65.0,0.0,117.0,0.0,164.0,31,2016,1,15.0,15.0,,1.0,,,
