tweet_id,retweet_count,favorite_count,media1,media2,media3,media4
881906580714921986,3435,24376,photo,,,
881666595344535552,10813,50716,photo,,,
881633300179243008,7,127,,,,
881536004380872706,16183,49631,video,,,
881268444196462592,5215,23147,photo,,,
880935762899988482,2815,17068,photo,,,
880872448815771648,3868,21373,photo,,,
880465832366813184,6370,28628,photo,photo,photo,photo
880221127280381952,4290,27162,photo,photo,,
880095782870896641,4418,27716,photo,,,
879862464715927552,3547,22374,photo,photo,photo,
879674319642796034,10,313,,,,
879492040517615616,3228,23484,photo,,,
879415818425184262,44777,106269,video,,,
879376492567855104,3160,16826,photo,,,
879130579576475649,6943,0,,,,
879050749262655488,4781,22671,photo,,,
879008229531029506,2731,19035,photo,,,
878776093423087618,4184,19446,photo,photo,,
878604707211726852,7352,30389,,,,
878404777348136964,1313,0,,,,
878316110768087041,6764,0,,,,
878281511006478336,1313,7784,photo,,,
878057613040115712,6943,42212,photo,photo,,
877736472329191424,19475,80232,photo,photo,,
877611172832227328,81,0,photo,photo,,
877556246731214848,3888,22857,photo,,,
877316821321428993,5261,27459,photo,photo,,
877201837425926144,5691,27251,photo,photo,,
876838120628539392,3417,20766,photo,photo,,
876537666061221889,4685,23538,,,,
876484053909872640,2444,18847,photo,,,
876120275196170240,4775,28046,photo,,,
875747767867523072,4369,25312,photo,,,
875144289856114688,5011,22024,video,,,
875097192612077568,6149,27546,,,,
875021211251597312,4796,25606,photo,photo,,
874680097055178752,4729,28002,photo,,,
874434818259525634,15070,0,,,,
874296783580663808,4195,26204,photo,,,
874057562936811520,4030,22774,photo,,,
874012996292530176,10676,34896,photo,photo,,
873580283840344065,4031,24401,photo,,,
873337748698140672,1622,0,,,,
873213775632977920,1622,7317,photo,photo,,
872967104147763200,5514,27562,photo,photo,,
872820683541237760,3779,14821,photo,photo,photo,photo
872668790621863937,28,0,,,,
872620804844003328,3791,20945,photo,,,
872486979161796608,9204,41001,photo,,,
872261713294495745,6477,34510,photo,photo,,
872122724285648897,8316,34737,photo,photo,,
871879754684805121,11507,38397,photo,photo,,
871762521631449091,3567,20447,photo,photo,photo,
871515927908634625,3540,20402,photo,photo,,
871166179821445120,5827,0,,,,
871102520638267392,5621,21128,,,,
871032628920680449,3899,22889,photo,,,
870804317367881728,6387,34013,photo,,,
870726314365509632,3,120,,,,
870656317836468226,2726,12584,photo,photo,photo,photo
870374049280663552,26975,83636,photo,,,
870308999962521604,4271,22085,photo,photo,,
870063196459192321,8607,37124,photo,photo,,
869772420881756160,10357,42950,photo,,,
869702957897576449,6530,28620,photo,,,
869596645499047938,3235,16206,photo,photo,,
869227993411051520,3915,20731,photo,,,
868880397819494401,14988,66628,photo,,,
